Position_mm,FFT_Width,Filename
214.6,20.885357814532814,-103.csv
214.7,20.86883632354272,-102.csv
214.8,20.85433521448051,-101.csv
214.9,20.844073294900593,-100.csv
215.0,20.831685899766235,-99.csv
215.1,20.803965157830874,-98.csv
215.2,20.78823475820527,-97.csv
215.3,20.772507708307966,-96.csv
215.4,20.756496186535244,-95.csv
215.5,20.74198900896353,-94.csv
215.6,20.732227666960682,-93.csv
215.7,20.709809871076573,-92.csv
215.8,20.692247806990704,-91.csv
215.9,20.676183617867622,-90.csv
216.0,20.656314753277908,-89.csv
216.1,20.64295208007541,-88.csv
216.2,20.619423598222753,-87.csv
216.3,20.61228881429647,-86.csv
216.4,20.59777143732636,-85.csv
216.5,20.572612829318437,-84.csv
216.6,20.55665620088734,-83.csv
216.7,20.54081010847753,-82.csv
216.8,20.5248439831781,-81.csv
216.9,20.50884543401582,-80.csv
217.0,20.49663730210949,-79.csv
217.1,20.488660069152786,-78.csv
217.2,20.462955534299073,-77.csv
217.3,20.451922888790918,-76.csv
217.4,20.437408008700373,-75.csv
217.5,20.421723886103784,-74.csv
217.6,20.441238957660897,-73.csv
217.7,20.40193328612173,-72.csv
217.8,20.377654404652038,-71.csv
217.9,20.363628974312814,-70.csv
218.0,20.349500610428823,-69.csv
218.1,20.344062385491327,-68.csv
218.2,20.32235919982887,-67.csv
218.3,20.305587400997098,-66.csv
218.4,20.289390619022768,-65.csv
218.5,20.28638674368887,-64.csv
218.6,20.261879837571776,-63.csv
218.7,20.23921723105911,-62.csv
218.8,20.229954743678974,-61.csv
218.9,20.21451039147333,-60.csv
219.0,20.190181686224772,-59.csv
219.1,20.173812851874267,-58.csv
219.2,20.156125126647638,-57.csv
219.3,20.147443632361263,-56.csv
219.4,20.1341691204786,-55.csv
219.5,20.108515888683957,-54.csv
219.6,20.06551158721133,-53.csv
219.7,20.079504171785572,-52.csv
219.8,20.06426575214689,-51.csv
219.9,20.049240472147815,-50.csv
220.0,20.03395090762381,-49.csv
220.1,20.019472536837494,-48.csv
220.2,20.004459402956606,-47.csv
220.3,19.988149180550995,-46.csv
220.4,19.97668831630915,-45.csv
220.5,19.969981903198565,-44.csv
220.6,19.940928945910386,-43.csv
220.7,19.92442688275362,-42.csv
220.8,19.90772043789138,-41.csv
220.9,19.890030508092963,-40.csv
221.0,19.88340311310449,-39.csv
221.1,19.858093069015975,-38.csv
221.2,19.83654759804925,-37.csv
221.3,19.82009946095474,-36.csv
221.4,19.80369557727609,-35.csv
221.5,19.787366890930688,-34.csv
221.6,19.77132762402495,-33.csv
221.7,19.763962864719627,-32.csv
221.8,19.739490838579787,-31.csv
221.9,19.734511140763672,-30.csv
222.0,19.710382097430323,-29.csv
222.1,19.69359933682634,-28.csv
222.2,19.682223671568025,-27.csv
222.3,19.66055700554205,-26.csv
222.4,19.654559766578597,-25.csv
222.5,19.629998220821612,-24.csv
222.6,19.624573892661562,-23.csv
222.7,19.599368884212964,-22.csv
222.8,19.583470283833925,-21.csv
222.9,19.569034744006032,-20.csv
223.0,19.56253768495983,-19.csv
223.1,19.5376266833161,-18.csv
223.2,19.518234902629043,-17.csv
223.3,19.497554695248425,-16.csv
223.4,19.484686511280547,-15.csv
223.5,19.469067595647573,-14.csv
223.6,19.45545156007775,-13.csv
223.7,19.439514894919313,-12.csv
223.8,19.425569958206566,-11.csv
223.9,19.41259513937049,-10.csv
224.0,19.40564562164674,-9.csv
224.1,19.387152474106703,-8.csv
224.2,19.375693605605367,-7.csv
224.3,19.362869075634176,-6.csv
224.4,19.357522473202195,-5.csv
224.5,19.338650956868708,-4.csv
224.6,19.32663375263806,-3.csv
224.7,19.314656390118696,-2.csv
224.8,19.302320875259518,-1.csv
224.9,19.294854326771386,0.csv
225.0,19.277697077142772,1.csv
225.1,19.265689448417298,2.csv
225.2,19.252770774480506,3.csv
225.3,19.250496245707552,4.csv
225.4,19.22651574635631,5.csv
225.5,19.221453821790874,6.csv
225.6,19.208218552416504,7.csv
225.7,19.18451883421339,8.csv
225.8,19.171510457860467,9.csv
225.9,19.154394343144403,10.csv
226.0,19.143401651032733,11.csv
226.1,19.123749407146935,12.csv
226.2,19.118194461980302,13.csv
226.3,19.093613715785676,14.csv
226.4,19.079919506896182,15.csv
226.5,19.066049744611448,16.csv
226.6,19.05170027186337,17.csv
226.7,19.038628272828863,18.csv
226.8,19.025910920017175,19.csv
226.9,19.013335656942722,20.csv
227.0,18.999227216087597,21.csv
227.1,18.98766120719525,22.csv
227.2,18.984186165085664,23.csv
227.3,18.95411020323632,24.csv
227.4,18.939445450202946,25.csv
227.5,18.934980788903655,26.csv
227.6,18.914026059565707,27.csv
227.7,18.908374587550398,28.csv
227.8,18.88788902491716,29.csv
227.9,18.88683458648058,30.csv
228.0,18.860136972592244,31.csv
228.1,18.847196841234375,32.csv
228.2,18.83270353560737,33.csv
228.3,18.82633696596275,34.csv
228.4,18.80453110526924,35.csv
228.5,18.78946181714858,36.csv
228.6,18.775168346001497,37.csv
228.7,18.76202861974586,38.csv
228.8,18.750255769031007,39.csv
228.9,18.74278788671531,40.csv
229.0,18.72356823552785,41.csv
229.1,18.71142395449949,42.csv
229.2,18.701146953039938,43.csv
229.3,18.696460736412558,44.csv
229.4,18.6748527836724,45.csv
229.5,18.663118983832142,46.csv
229.6,18.650808251435677,47.csv
229.7,18.637418893854882,48.csv
229.8,18.629196152685697,49.csv
229.9,18.612484766984785,50.csv
