Filename,Position_mm,Segment_Count,Teacher_Width,Student_Width,BaselineA_Width,BaselineB_Width,Teacher_Pos_Pred,Student_Pos_Pred,BaselineA_Pos_Pred,BaselineB_Pos_Pred,Teacher_Error_mm,Student_Error_mm,BaselineA_Error_mm,BaselineB_Error_mm,Student_vs_Teacher_WidthErr,BaselineA_vs_Teacher_WidthErr,BaselineB_vs_Teacher_WidthErr,BaselineA_Latency_ms,BaselineB_Latency_ms
-366.csv,188.3,8,26.537804732973697,26.486344575881958,26.46511108865425,25.58807504520974,188.13686086925372,188.32579129990577,188.40396589544648,191.7484645696616,-0.16313913074628772,0.025791299905762344,0.10396589544646417,3.4484645696615814,-0.051460157091739234,-0.0726936443194468,-0.9497296877639556,3.5341000000244094,6.027700000004188
-365.csv,188.4,8,26.504604776281795,26.456418991088867,26.433218895415905,25.61562607588897,188.2586653956824,188.43600416497256,188.52162268137542,191.63984964699918,-0.14133460431759204,0.0360041649725531,0.12162268137541332,3.2398496469991755,-0.04818578519292771,-0.07138588086588982,-0.8889787003928262,3.2985999998800253,8.666200000106983
-358.csv,189.1,9,26.297991099819416,26.351011276245117,26.264615963626113,25.702420942595413,189.02373549456757,188.8262411658544,189.14847084814295,191.2992282755686,-0.07626450543241958,-0.2737588341455819,0.04847084814295499,2.1992282755686006,0.05302017642570078,-0.033375136193303234,-0.5955701572240031,3.501400000004651,10.091500000044107
-353.csv,189.6,8,26.16240642271091,26.132705450057983,26.096766582795397,25.794922418646017,189.53248319430924,189.64464691406982,189.78071546647973,190.93878333762777,-0.06751680569075802,0.04464691406982979,0.18071546647973946,1.338783337627774,-0.029700972652925373,-0.06563983991551225,-0.3674840040648917,3.5004000001208624,8.669900000086272
-349.csv,190.0,8,26.05427699815797,26.017027616500854,25.970002934774048,25.838426589728428,189.94207921287148,190.08398392416365,190.26372089074167,190.7701726457616,-0.05792078712852344,0.08398392416364686,0.2637208907416664,0.7701726457615905,-0.03724938165711578,-0.08427406338392274,-0.21585040842954228,3.4435000000030414,8.392899999989822
-342.csv,190.7,9,25.856420061407,25.851531770494248,25.78170671915705,25.97530952558064,190.70060373746884,190.7194937755302,190.9901187517601,190.24340493033816,0.0006037374688503405,0.019493775530207813,0.2901187517601045,-0.45659506966183017,-0.00488829091275278,-0.07471334224995019,0.1188894641736411,3.5557999999582535,10.785700000042198
-341.csv,190.8,8,25.8270676480725,25.82120180130005,25.756954920629894,25.995565934583045,190.81414106328748,190.83686213656247,191.0864097455454,190.1659322113183,0.014141063287468114,0.036862136562461956,0.28640974554539866,-0.6340677886817048,-0.0058658467724512775,-0.07011272744260566,0.16849828651054466,3.8039999999455176,8.53159999996933
-334.csv,191.5,9,25.62877278198451,25.61129993862576,25.596752767976326,27.097069753320444,191.58810504344785,191.65688889077234,191.71422851525216,186.13070178071692,0.08810504344785386,0.15688889077233625,0.21422851525215947,-5.369298219283081,-0.017472843358749657,-0.03202001400818233,1.4682969713359348,2.6413999999022053,5.5919000001267705
-325.csv,192.4,8,25.413092844665627,25.413069486618042,25.374774152310877,24.518534656772438,192.44390488930603,192.4439983740811,192.59750189057098,196.15741286944888,0.04390488930602032,0.043998374081098746,0.197501890570976,3.7574128694488707,-2.335804758502036e-05,-0.03831869235474983,-0.894558187893189,2.115100000082748,6.836900000052992
-318.csv,193.1,8,25.244593955970736,25.25092363357544,25.184281970932478,24.604198168670795,193.12286864987618,193.0971962929741,193.3681463164769,195.7898782893543,0.02286864987618742,-0.0028037070258903896,0.26814631647690135,2.6898782893543114,0.006329677604703932,-0.06031198503825763,-0.6403957872999406,2.1733999999469233,4.941200000075696
-317.csv,193.2,9,25.21897071286719,25.2204532623291,25.15857686841578,24.61153905742131,193.22692748271922,193.2209008087005,193.47304865474496,195.7585040250977,0.02692748271923051,0.02090080870050315,0.27304865474496864,2.5585040250977045,0.0014825494619117308,-0.06039384445141138,-0.607431655445879,4.776900000024398,6.49110000017572
-314.csv,193.5,8,25.14782671382945,25.139474153518677,25.09405854020417,24.648236829161938,193.51698480808807,193.55114838379467,193.7373128373035,195.60194708055982,0.01698480808806835,0.05114838379466846,0.23731283730350583,2.1019470805598246,-0.008352560310772361,-0.0537681736252793,-0.4995898846675111,2.4193000001559994,6.07769999987795
-311.csv,193.8,8,25.07523178941906,25.023083448410034,25.102671941935405,24.748424460282983,193.81468773742301,194.02962891197012,193.7019526089704,195.1769464098453,0.014687737423003,0.22962891197011004,-0.0980473910296098,1.3769464098452886,-0.05214834100902621,0.027440152516344796,-0.32680732913607713,3.029900000001362,8.338399999956891
-309.csv,194.0,8,25.00652958537613,24.995640993118286,24.98416771403003,24.732031404572833,194.09805056718008,194.1431064949353,194.19062513422287,195.2462461996863,0.09805056718008132,0.1431064949352958,0.19062513422286997,1.2462461996863112,-0.010888592257842333,-0.02236187134609935,-0.27449818080329536,2.096700000038254,7.225699999935387
-305.csv,194.4,8,24.90928039301769,24.903993606567383,24.86948493133849,24.148348635834857,194.50188108619952,194.5239268294812,194.66806183668396,197.77627265259375,0.10188108619951208,0.12392682948120637,0.26806183668395533,3.376272652593741,-0.005286786450305669,-0.039795461679197786,-0.7609317571828313,2.079700000194862,6.105799999886585
-304.csv,194.5,9,24.8864384055126,24.8771235148112,24.843556026414973,24.19395899581965,194.5972000272609,194.63612203766192,194.77662978032262,197.57408341173553,0.0972000272608966,0.1361220376619201,0.2766297803226223,3.074083411735529,-0.009314890701400458,-0.04288237909762671,-0.6924794096929503,2.1867000000383996,5.506299999979092
-299.csv,195.0,9,24.772417223146803,24.77062776353624,24.708230462293898,24.312529547069087,195.07568837685136,195.08323363106612,195.34702895042938,197.0520858379125,0.07568837685136032,0.08323363106612192,0.347028950429376,2.0520858379125,-0.0017894596105634264,-0.06418676085290542,-0.45988767607771663,3.859800000100222,5.697099999906641
-298.csv,195.1,9,24.74569149060577,24.748267067803276,24.67948894814235,24.329677232211306,195.188493224884,195.17761132352666,195.46899637329088,196.97702418629186,0.08849322488401867,0.07761132352666777,0.36899637329088364,1.8770241862918624,0.0025755771975077835,-0.06620254246341872,-0.41601425839446193,2.245600000151171,9.100999999873238
-290.csv,195.9,9,24.555795090363965,24.51277690463596,24.464208776900488,24.525630981017063,195.99722755819494,196.18221018199975,196.3918558237616,196.12686697657116,0.09722755819493045,0.28221018199974424,0.49185582376159687,0.22686697657115928,-0.04301818572800542,-0.0915863134634769,-0.03016410934690228,2.4594000001343375,5.778699999837045
-285.csv,196.4,8,24.444578497625308,24.441596508026123,24.416151264673573,24.604121962727973,196.47683165180163,196.48975231461648,196.60013497907258,195.79020408650757,0.07683165180162632,0.08975231461647581,0.2001349790725726,-0.6097959134924338,-0.002981989599184942,-0.028427232951734993,0.15954346510266504,2.0382999998673768,6.089500000143744
-283.csv,196.6,9,24.38526068567253,24.39865557352702,24.364501259894112,24.657534885426383,196.73445564024433,196.6761684011061,196.82491853357058,195.56235597578092,0.1344556402443402,0.07616840110611633,0.22491853357058744,-1.0376440242190768,0.013394887854488502,-0.020759425778418716,0.27227419975385203,3.591499999856751,7.488899999998466
-281.csv,196.8,8,24.35550586170328,24.360344648361206,24.33519047187336,24.679655041381352,196.86416644583514,196.8430506114801,196.95291366273054,195.4682907079321,0.0641664458351272,0.04305061148008349,0.1529136627305263,-1.3317092920678988,0.004838786657927585,-0.020315389829917763,0.32414917967807355,2.2853000000395696,5.042799999955605
-278.csv,197.1,8,24.29643603512675,24.278552055358887,24.273342198860295,24.736741735990456,197.1226313383834,197.2011372596674,197.22402934878212,195.2263242135059,0.022631338383405364,0.10113725966741072,0.12402934878213046,-1.8736757864940898,-0.017883979767862712,-0.02309383626645456,0.440305700863707,2.1983999999974912,8.802000000059707
-275.csv,197.4,9,24.228186222570105,24.166435453626846,24.156849855426053,24.749953037163593,197.42286543697531,197.69600118913698,197.73852794348903,195.17048929663554,0.02286543697530874,0.29600118913697315,0.3385279434890265,-2.2295107033644683,-0.06175076894325926,-0.07133636714405256,0.5217668145934873,3.8830000000871223,6.500400000049922
-273.csv,197.6,8,24.165456781526142,24.204881191253662,24.118716862326547,24.950391173103718,197.70034151506886,197.52578107407567,197.90804754859312,194.33077546763917,0.10034151506886246,-0.07421892592432755,0.3080475485931231,-3.2692245323608233,0.039424409727519816,-0.04673991919959519,0.7849343915775755,2.1587999999610474,5.1728999999340886
-269.csv,198.0,9,24.086358434874764,24.100019454956055,24.031037525764088,25.113071045249722,198.05232606810307,197.9913666055737,198.29990735648872,193.6592945742696,0.05232606810307061,-0.008633394426311725,0.2999073564887169,-4.340705425730391,0.013661020081290332,-0.05532090911067655,1.0267126103749575,2.2291000000222994,10.323100000050545
-265.csv,198.4,9,24.019955258200525,24.002810584174263,23.957154122004642,25.243291146434697,198.3496444953317,198.42668202668978,198.63238276091968,193.1281543065141,-0.05035550466831751,0.0266820266897696,0.2323827609196769,-5.271845693485915,-0.017144674026262408,-0.06280113619588334,1.2233358882341712,2.3955000001478766,11.105399999905785
-264.csv,198.5,9,23.976673873827785,23.96111297607422,23.927743687213123,22.504032444979757,198.54434057512117,198.61451484921315,198.765312918086,205.62492400442724,0.04434057512116851,0.11451484921315114,0.26531291808601054,7.124924004427243,-0.015560897753566394,-0.048930186614661864,-1.4726414288480285,2.2242000000005646,7.8325999998014595
-258.csv,199.1,9,23.856599718904764,23.84428490532769,23.81034758819634,23.129872735618605,199.0882550582674,199.14435512958858,199.29926297646392,202.5033037149939,-0.011744941732587222,0.04435512958858112,0.19926297646392754,3.4033037149939105,-0.01231481357707409,-0.04625213070842449,-0.7267269832861594,3.829100000075414,6.2525999999252235
-256.csv,199.3,8,23.82915980669199,23.834158182144165,23.809029158958975,23.56959953592958,199.21333843388305,199.19053170635092,199.30529008097434,200.4112405659236,-0.08666156611695897,-0.10946829364908695,0.005290080974333478,1.1112405659235947,0.0049983754521747414,-0.02013064773301565,-0.2595602707624103,2.2179999998570565,6.999000000178057
-252.csv,199.7,9,23.730542287862114,23.71659278869629,23.681887686005027,23.537981542656823,199.6653190081998,199.72956168559998,199.8897269513824,200.55900459312576,-0.0346809918002009,0.02956168559998673,0.18972695138242557,0.8590045931257748,-0.01394949916582533,-0.0486546018570877,-0.19256074520529154,4.577200000085213,9.91399999998066
-236.csv,201.3,8,23.36707059435337,23.391425848007202,23.31160619394519,23.80216258306143,201.36481232753968,201.24924793126235,201.6289082810931,199.33669115835986,0.06481232753966992,-0.05075206873766547,0.3289082810930779,-1.9633088416401563,0.02435525365383384,-0.05546440040817657,0.43509198870806287,3.2949000001281092,7.430999999996857
-232.csv,201.7,8,23.29796568874322,23.324881553649902,23.25189189779533,23.92584893977846,201.69405484153737,201.56558036188954,201.91467877143444,198.7738882912732,-0.005945158462623112,-0.13441963811044388,0.2146787714344498,-2.926111708726779,0.02691586490668385,-0.0460737909478901,0.627883251035243,3.1041999998251413,7.463400000006004
-227.csv,202.2,9,23.192619161100957,23.190392388237846,23.141098596268286,24.07587684792976,202.1998225175522,202.2105638846307,202.44888491638488,198.0991458382289,-0.00017748244778204025,0.010563884630698794,0.2488849163848954,-4.100854161771082,-0.002226772863110682,-0.05152056483267131,0.8832576868288022,3.4318000000439497,7.745399999976144
-224.csv,202.5,9,23.14015301948133,23.13062795003255,23.07868108838262,24.164714183226113,202.4534666410152,202.4996410235247,202.75214737087902,197.70363511355814,-0.04653335898478872,-0.00035897647529736787,0.2521473708790154,-4.796364886441864,-0.009525069448777401,-0.06147193109870841,1.0245611637447851,2.477700000099503,6.965899999840985
-217.csv,203.2,9,23.0115117109038,23.04155710008409,22.927638489248906,24.36092227964953,203.08037474334722,202.93331442246338,203.49298494543805,196.84053047567372,-0.11962525665276758,-0.26668557753660593,0.2929849454380644,-6.359469524326272,0.030045389180290982,-0.08387322165489408,1.3494105687457285,2.4337999998351734,7.159800000181349
-214.csv,203.5,8,22.950470920530297,22.944342613220215,22.87843936171889,22.512364986581552,203.380356718126,203.41056405848514,203.73645595498556,205.58219707038003,-0.11964328187400497,-0.08943594151486423,0.2364559549855585,2.082197070380033,-0.006128307310081738,-0.07203155881140688,-0.4381059339487443,2.70290000003115,5.374300000084986
-210.csv,203.9,9,22.862662390712757,22.892831802368164,22.804467878174776,21.983895756607833,203.81475792981092,203.6651216556623,204.10453774358143,208.35760184575895,-0.08524207018908214,-0.23487834433771582,0.20453774358142596,4.457601845758944,0.03016941165540743,-0.05819451253798036,-0.8787666341049238,3.520100000059756,6.15420000008271
-204.csv,204.5,9,22.74412623841577,22.692692014906143,22.703400449718256,22.214786539173865,204.40660932815177,204.66538618140828,204.61141094133893,207.12840769870735,-0.09339067184822625,0.1653861814082802,0.11141094133893148,2.628407698707349,-0.05143422350962723,-0.04072578869751453,-0.5293396992419055,2.2287000001597335,5.564399999911984
-200.csv,204.9,9,22.671388262425957,22.648280673556858,22.62853228721064,22.223956800247525,204.77292144209426,204.88979568792666,204.98987297826886,207.08012707206979,-0.1270785579057474,-0.01020431207334127,0.08987297826885765,2.18012707206978,-0.023107588869098805,-0.0428559752153177,-0.4474314621784323,2.189700000144512,9.152499999800057
